pin,size,threads,runtime,runtimesd,energy,energysd,name
true,1100,11,0.7610323,0.05983682,26.5619,2.7188013,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,12,0.66799384,0.027706303,23.035713,0.73714244,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,13,0.68801653,0.017253678,25.610699,0.49085954,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,14,0.6259674,0.007755107,23.652,0.22388248,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,15,0.55745447,0.0035059277,23.11221,0.10057316,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1100,16,0.5662528,0.0017104325,23.833261,0.112535685,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1100_1100__i__i__d_1100_1100__i__i__d_1100_1100__d
true,1200,1,3.2124271,0.00824668,48.518764,1.3624396,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,2,6.1181374,0.19887531,91.86796,3.0724196,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,3,4.158141,0.06387225,75.30574,1.1726127,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,4,3.1108506,0.16543008,58.210358,3.2659154,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,5,2.6947162,0.06954647,57.951298,1.3767369,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,6,2.3049803,0.14769565,50.347153,2.9248376,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,7,1.9413567,0.06503257,48.336502,1.6440812,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,8,1.7576196,0.0042819763,44.609264,0.4055413,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,9,1.5821419,0.048526604,45.251537,1.4414793,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,10,1.3348329,0.079609804,39.39071,1.9852432,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,11,1.221458,0.0051584584,39.976234,0.21347487,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,12,1.1747653,0.0038872703,38.94425,0.2609205,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,13,1.0073715,0.032013316,37.209698,1.0953293,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,14,1.014613,0.013108395,37.46752,0.3632098,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,15,0.90355736,0.035309397,36.81813,1.342664,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1200,16,0.8863391,0.012595704,36.533676,0.4741888,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1200_1200__i__i__d_1200_1200__i__i__d_1200_1200__d
true,1300,1,4.0285335,0.0061926963,62.696896,1.1426549,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,2,9.531954,0.2637131,142.91803,4.47819,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,3,6.8644757,0.33738858,122.20434,5.2623405,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,4,5.156944,0.22730511,94.491516,4.147478,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,5,4.1968956,0.19416894,89.43386,3.6420293,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,6,3.5111709,0.104128346,75.41473,2.1498713,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,7,2.8911972,0.061850093,72.06663,2.2689621,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,8,2.5594523,0.040683594,64.56983,0.8598395,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,9,2.2482913,0.061387602,64.08591,1.6591209,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,10,2.0706375,0.03834192,60.037376,0.92016387,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,11,1.9447036,0.03585485,62.756107,0.9670489,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,12,1.742792,0.05687477,57.315407,1.7189419,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,13,1.5539225,0.03451045,56.56503,1.0076225,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,14,1.5021751,0.035024855,55.06703,0.98707545,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,15,1.3806741,0.004607576,55.62887,0.31171864,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1300,16,1.3741133,0.07147214,55.92835,2.7167115,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1300_1300__i__i__d_1300_1300__i__i__d_1300_1300__d
true,1400,1,4.8426423,0.055764887,74.787766,3.3491864,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,2,14.262257,0.2961567,213.8778,5.5991306,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,3,9.447929,0.118398875,166.60535,2.4914386,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,4,7.2656145,0.19949399,133.22992,3.8108122,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,5,5.7158446,0.18770294,120.88263,3.5837243,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,6,4.982973,0.07175714,106.930176,1.7435505,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,7,4.2148333,0.12951662,102.709816,2.7139354,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,8,3.7568502,0.072397076,93.63434,2.3141468,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,9,3.3052936,0.09587228,92.723564,2.1486056,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
true,1400,10,3.0295217,0.10447302,86.11655,2.7762382,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_1400_1400__i__i__d_1400_1400__i__i__d_1400_1400__d
